Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-May-18,842177,OpenView Security Solutions Limited,2579.76,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-May-18,842181,Opus International Consultants (UK) Limited,1950,Capital
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101025,Tugbury Electrical Services Limited,1875,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101025,University Of Wales Trinity St David - Carmarthen Campus,1500,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101032,Superstars School Services Limited,720.3,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101047,RP Brown Limited t/a Cymraeg Cleaning,650,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101047,RP Brown Limited t/a Cymraeg Cleaning,650,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101047,RP Brown Limited t/a Cymraeg Cleaning,650,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101047,RP Brown Limited t/a Cymraeg Cleaning,650,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101055,The National Trust For Places Of Historic Interest Or Natural Beauty,7460,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101137,Dwr Cymru Cyf,1784.39,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101137,Glen Cleaning Company Limited,1914,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101137,iTeach Limited,2750,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101137,Parkwood Leisure Limited,3197.17,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,101317,The Assessment Foundation CIC,666,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,102593,The Consortium for Purchasing and Distribution Limited,518.35,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-May-18,102801,CJ Contract Travel Services Limited,504.9,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-May-18,104381,A & R Contract Cleaning Specialist Limited,1147.3,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,09-May-18,154401,ABM Catering for Leisure Limited,3165.76,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,09-May-18,157800,Castell Howell Foods Limited,1023.31,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,09-May-18,157800,Castell Howell Foods Limited,1073.27,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,209151,Gibbonsdown Childrens Centre Limited,5280,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,209151,Gibbonsdown Childrens Centre Limited,528,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,209151,Little Inspirations Limited,1936,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,209151,Nicola Varney & Ptn t/a Nifty Kids After School Club,1632,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-May-18,215011,Hafal,3140.75,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-May-18,216731,Touch Trust Foundation Limited,1250,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-May-18,217909,Walter Standen T/A Standens Contract Hire,754,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-May-18,217909,Walter Standen T/A Standens Contract Hire,792,Revenue
DIRECT SOCIAL SERVICES,GF YOS,09-May-18,221251,Dwr Cymru Cyf,819.61,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,260130,Llamau Limited,528.45,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,260130,Llamau Limited,560,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,260130,Llamau Limited,560,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-May-18,260140,Susan Heffernan T/A Baruc Guest House,546.57,Revenue
