Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101004,A & R Contract Cleaning Specialist Limited,1558.72,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101004,Blue Sky Digital Solutions Limited,673.98,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101004,Superstars School Services Limited,1592.88,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101006,Dwr Cymru Cyf,1288.43,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101006,EDF Energy Plc,887.39,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101006,EDF Energy Plc,580.89,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101006,Bay Resourcing Limited,506,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101006,Shakespeare Schools Foundation,959,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101025,Cwmni Urdd Gobaith Cymru,7379,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101030,Academics Limited,834.3,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101030,Academics Limited,1112.4,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101030,Academics Limited,695.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-May-18,101030,Academics Limited,973.35,Revenue
