Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Apr-18,260060,BetterCare Keys Limited,-10655.01,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Apr-18,260060,Foster Care Associates Limited,-4189.5,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325312,Centregreat Limited,4750,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325325,Calibre Contracting Limited,2310.1,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325325,Calibre Contracting Limited,2349.83,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325325,G.P.H.I.T (Integrated Services) Limited,950,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325325,G.P.H.I.T (Integrated Services) Limited,950,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325338,Calibre Contracting Limited,820.08,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325340,Calibre Contracting Limited,929.68,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325340,Calibre Contracting Limited,1128.63,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325340,Calibre Contracting Limited,1948.71,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325340,Calibre Contracting Limited,1411.65,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325340,G.P.H.I.T (Integrated Services) Limited,1300,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325810,Compass Minerals UK Limited,1193.66,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325810,Compass Minerals UK Limited,6093.12,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325810,Compass Minerals UK Limited,1213.08,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325810,Compass Minerals UK Limited,1241.74,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325810,Compass Minerals UK Limited,4843.05,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325851,Calibre Contracting Limited,617.1,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325851,Standard Signs & Traffic Systems Limited,5490.72,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Apr-18,325894,Calibre Contracting Limited,1160.32,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Apr-18,356020,Dwr Cymru Cyf,1190.58,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,03-Apr-18,400050,Lingotech Limited,1084.61,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,1566.51,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,2799.54,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,1566.51,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,22739.74,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,10731.2,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Gofal A Chymorth Gwalia Cyf,7801.36,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,9903.72,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,4248.24,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,9781.98,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,6844.8,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,6844.8,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Llamau Limited,10761.42,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Pobl Group Limited T/A Reach Supported Living,17764.24,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407107,Dwr Cymru Cyf,574.09,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407150,LNC Floor Coverings Limited,850,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407255,Dwr Cymru Cyf,658.63,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407255,TV Licensing,518,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407260,Dwr Cymru Cyf,537.97,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,03-Apr-18,407501,Marsh Limited,4064.32,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,420212,MPS Marketing Services Limited,8534.91,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,421230,Xerox (UK) Limited,736.5,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Apr-18,402451,Bridgend County Borough Council,19512.54,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405301,Cardiff County Council,5580,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405100,Lyndon Mustoe,3590.24,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Apr-18,405100,Lyndon Mustoe,563.76,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,03-Apr-18,471900,James Marwick,8040,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03-Apr-18,100130,Disclosure and Barring Service,1760,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215001,Disclosure and Barring Service,665,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Apr-18,260020,Disclosure and Barring Service,792,Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,03-Apr-18,260500,Disclosure and Barring Service,836,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Apr-18,365769,Disclosure and Barring Service,792,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,422160,University of Salford,1950,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03-Apr-18,140119,Acorn Recruitment Limited,1371.7,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,422160,Anderselite Limited,850,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,422160,Anderselite Limited,800,Revenue
