Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,613.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,582.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,621.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,597.15,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,613.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,582.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,621.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,597.15,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,1st Grade Care Limited,532.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,857.92,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,653.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,621.92,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,598.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,848.45,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,755.36,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,576.3,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,684.8,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,729.04,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,571.55,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,544.18,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,523.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,660.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,599.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,750.68,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,571.55,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,544.18,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,523.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,660.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Caring Companions Limited,599.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,690.95,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,597.76,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,635.32,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,608.35,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,690.95,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,597.76,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,635.32,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,215489,Hallows Care Limited T/A Hallows Care,608.35,Revenue,agen
