Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,07-Jun-18,102635,eBuyer UK Limited,2630.6,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,07-Jun-18,130511,Pinit Building & Civil Engineering Limited,6010,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,209151,Business Gas Limited / Electricity,-539.49,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,209157,Business Gas Limited / Electricity,539.49,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,209157,Tugbury Electrical Services Limited,585,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,07-Jun-18,217909,Everycare (Cardiff) Limited,813.96,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Compass Fostering Wales Limited,2882.4,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Foster Care Associates Limited,8100,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Foster Care Associates Limited,3735.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Foster Care Associates Limited,8370,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Foster Care Group Wales Cyf,5828,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Horizon Care & Education Group Limited,3828.56,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Horizon Care & Education Group Limited,14357.1,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Landsker Child Care Limited,17502.86,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Landsker Child Care Limited,17527.68,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Landsker Child Care Limited,17527.68,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Orbis Education and Care Limited,22746.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Pathway Care Limited T/A Calon Cymru Fostering,1727.68,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Pathway Care Limited T/A Calon Cymru Fostering,1555.26,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Priory Healthcare Limited t/a Eastwood Grange Priory,792.08,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Shared Services Connected Limited,17370,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260140,PayPoint Payment Services Limited,559.9,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260160,Coram Academy Limited,2088.58,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,07-Jun-18,319010,Flogas Britain Limited,893.91,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,07-Jun-18,325340,Cemex UK Materials Limited,579.86,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,07-Jun-18,333102,Askfrank Limited,660,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,07-Jun-18,333218,Dwr Cymru Cyf,675.04,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,07-Jun-18,333550,Maxwell Amenity Limited T/A Amenity Land Solutions,1071.63,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,07-Jun-18,354727,C & J Barrett Limited,3932,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,07-Jun-18,354727,Centrewire Limited,6303.04,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,07-Jun-18,356020,PHS Group Plc,683.18,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,07-Jun-18,365784,Cycle Solutions Limited,969.95,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,07-Jun-18,365786,New Adventure Travel Limited,24942.15,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,07-Jun-18,365787,First Cymru Buses Limited,3474.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,07-Jun-18,365787,First Cymru Buses Limited,3591.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,07-Jun-18,403207,Minton Treharne & Davies Limited,2170,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,07-Jun-18,407119,Health and Safety Executive,554.7,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,07-Jun-18,407200,EDF Energy Plc,1135.15,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,420211,MISL Limited,6022.86,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,421230,Computacenter (UK) Limited,1486.8,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,422100,UK Gutter Maintenance Limited,596.25,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,422120,UK Gutter Maintenance Limited,596.25,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,422150,UK Gutter Maintenance Limited,596.25,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,07-Jun-18,422201,UK Gutter Maintenance Limited,596.25,Revenue,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,07-Jun-18,842067,Securus Property Compliance Limited,599,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,07-Jun-18,845003,Horizon Disabled Adaptations Limited,7060.45,Capital,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,07-Jun-18,852231,A & GP Trading Limited T/A Cablenet Trackmaster,650,Capital,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,07-Jun-18,852234,Phonelink Installations Limited,10159.29,Capital,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,07-Jun-18,852515,TEC Property Services Limited,31817.04,Capital,Companies
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,07-Jun-18,239043,Flintshire County Council,40000,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Durham County Council,38850,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,07-Jun-18,403211,Cardiff County Council,736.54,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,07-Jun-18,403211,Cardiff County Council,4185.27,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260050,Angela Ricciardi,1000,Revenue,Professional Services
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,07-Jun-18,479050,Owain James,750,Revenue,Professional Services
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260160,The Fostering Network - London office,1275.68,Revenue,Public Bodies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,07-Jun-18,460500,Information Commissioners Office,2900,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07-Jun-18,101195,Millennium Personnel Services (Education) Limited,1008,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260150,Sanctuary Personnel Limited,1276.5,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260150,Sanctuary Personnel Limited,1276.5,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260150,Sanctuary Personnel Limited,1104,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260150,Sanctuary Personnel Limited,1276.5,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260150,Sanctuary Personnel Limited,1276.5,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Five Oaks Care Limited,20645.1,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,07-Jun-18,217909,Walter Standen T/A Standens Contract Hire,840,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,07-Jun-18,333600,Jeffrey Ball T/A Gates 'N' Railings,1600,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,07-Jun-18,130501,Cadoxton Youth Project,500,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260060,Barnardos Cymru,3077.86,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260235,The Lucy Faithfull Foundation,1076.5,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260235,The Lucy Faithfull Foundation,3234,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07-Jun-18,260235,The Lucy Faithfull Foundation,3202.5,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,593.34,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,553.79,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,618.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,658.84,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,664.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,759.98,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,707.36,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,All Care (South Wales) Limited,752.96,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Caring Companions Limited,653.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Caring Companions Limited,621.92,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Caring Companions Limited,598.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Caring Companions Limited,755.36,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Caring Companions Limited,684.8,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,GJ Care & Training Limited,634.76,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,GJ Care & Training Limited,701.11,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,GJ Care & Training Limited,617.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,538.1,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,508.59,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,564.61,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,569.52,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,549.27,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,555.72,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,517.4,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,564.61,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,569.52,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,215489,Nestor Primecare Services Limited t/a Allied Healthcare,514.03,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,All Care (South Wales) Limited,730.06,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,All Care (South Wales) Limited,553.13,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,All Care (South Wales) Limited,834.35,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,All Care (South Wales) Limited,619.5,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,Nestor Primecare Services Limited t/a Allied Healthcare,699.33,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216179,Nestor Primecare Services Limited t/a Allied Healthcare,699.33,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,217909,All Care (South Wales) Limited,534.79,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,217909,Caring Companions Limited,716.8,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,217909,GJ Care & Training Limited,750.69,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,218321,GJ Care & Training Limited,651.92,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,218419,All Care (South Wales) Limited,680.68,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,218419,All Care (South Wales) Limited,777.92,Revenue,agen
DIRECT LEARNING AND SKILLS,STRATEGY AND REGULATION,08-Jun-18,100131,Computacenter (UK) Limited,833.59,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Jun-18,102593,Omlet Limited,1919.51,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,08-Jun-18,154401,ABM Catering for Leisure Limited,1980,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Jun-18,216731,CJ Contract Travel Services Limited,570,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,08-Jun-18,301062,Biffa Waste Services Limited,1760.84,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,08-Jun-18,301062,Biffa Waste Services Limited,531.44,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,08-Jun-18,301062,Biffa Waste Services Limited,2346.5,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING CLEANING,08-Jun-18,312160,Chubb Fire & Security Limited,513.21,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,08-Jun-18,319010,Dawsonrentals Materials Handling Equipment Limited t/a Dawsonrentals Sweepers,2300,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,08-Jun-18,319010,Leeds Commercial Limited T/A LC Vehicle Hire,2550,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,08-Jun-18,319010,Riverside Truck Rental LImited,4255,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,325340,Garth Plant Hire Limited,663.75,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,325340,Garth Plant Hire Limited,715.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,325894,Garth Plant Hire Limited,885,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Jun-18,333218,Business Gas Limited / Electricity,567.09,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,08-Jun-18,365789,Merricks Private Transport Contractors Limited,1044,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,08-Jun-18,365789,Premier Cars (Cardiff) Limited,756,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,08-Jun-18,365790,Premier Cars (Cardiff) Limited,2770,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,08-Jun-18,365790,Premier Cars (Cardiff) Limited,714,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Jun-18,400050,E4Law Limited t/a Lextox,574.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Jun-18,400050,Lingotech Limited,680.3,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,08-Jun-18,440611,Vale People First Limited,20000,Revenue,Companies
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,08-Jun-18,812279,D & M Mechanical Engineers Limited,28090.72,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,08-Jun-18,831528,Urbis Schreder Limited,576.4,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,08-Jun-18,831534,Alun Griffiths (Contractors) Limited,35880,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,08-Jun-18,834231,Bruton Knowles LLP,1692,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,08-Jun-18,834231,Capita Property and Infrastructure Limited,45381.19,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Jun-18,842068,Willis Construction Limited,15259.82,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Jun-18,842068,Willis Construction Limited,10796.92,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Jun-18,842068,Willis Construction Limited,5085.8,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Jun-18,842164,Pendragon Design and Build Limited,28633.66,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Jun-18,842181,Acstro Limited,2300,Capital,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,341123,Cardiff County Council,21384.47,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,341123,Cardiff County Council,21015.3,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,341500,Cardiff County Council,19689.29,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,341500,Cardiff County Council,21075.17,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,08-Jun-18,365789,Ceri Slade,2664,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Jun-18,400050,Matthew Barry,800,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,08-Jun-18,405100,Duncan M Evans,3115.8,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Jun-18,365763,Valuation Office Agency,1400,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,08-Jun-18,239291,Acorn Recruitment Limited,510.23,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Jun-18,407106,James Andrews Recruitment Solutions Limited,651,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Jun-18,407106,James Andrews Recruitment Solutions Limited,510.6,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08-Jun-18,325894,Jeffrey Ball T/A Gates 'N' Railings,1450,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Jun-18,350740,Darren Mortimore t/a Great House Farm,3355.52,Revenue,Sole Traders
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GRANTS,08-Jun-18,465200,Menter Iaith Bro Morgannwg,17050,Revenue,Voluntary Organisations
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GRANTS,08-Jun-18,465201,Castleland Community Association,1812.71,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,595.97,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,669.12,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,595.97,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,595.97,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,669.12,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11-Jun-18,215489,Caring Companions Limited,857.92,Revenue,agen
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101005,Achievement for All (3As) Limited,4150,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101005,Biffa Waste Services Limited,674.96,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101007,Office Depot International (UK) Limited t/a Viking Direct,534.92,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101025,Argos Business Solutions Limited,685.96,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101094,A & R Contract Cleaning Specialist Limited,2079.29,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101094,EDF Energy Plc,910.44,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101094,The Learning Partnership (Wales) Limited,702.2,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101095,Biffa Waste Services Limited,541.8,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101095,One Team Logic Limited,760,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,A & R Contract Cleaning Specialist Limited,951.47,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,EDF Energy Plc,770.82,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,EDF Energy Plc,580.48,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,EDF Energy Plc,649.43,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101145,Towergate Underwriting Group Limited t/a Towergate Insurance,5469.11,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,EDF Energy Plc,936.94,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,EDF Energy Plc,747.24,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,EDF Energy Plc,556.38,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,EDF Energy Plc,682.38,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,EDF Energy Plc,716.91,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,PHS Group Plc,701.34,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101202,Ruth Miskin Literacy Limited,500,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101261,Cleveland Containers Limited,4300,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101261,EDF Energy Plc,1376.03,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101261,EDF Energy Plc,790.06,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101261,EDF Energy Plc,825.69,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101300,Frank Sutton Limited,1344,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,101315,The Learning Partnership (Wales) Limited,801.3,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,102593,Welsh Dance Theatre Trust Limited,1262.25,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,102593,Worldline IT Services UK Limited t/a FuelGenie,621.68,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,11-Jun-18,102702,Focal Point (Vision) Limited T/A Focal Point UK,1114.02,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11-Jun-18,103285,Cooke and Arkwright Limited,22552.45,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11-Jun-18,104381,A & R Contract Cleaning Specialist Limited,1147.3,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,11-Jun-18,130041,Adapt Business Services Limited,859.85,Revenue,Companies
